What kind of place would you like Casey to be in 2041?,If you had the power to change just one thing in the City of Casey what would it be?,What three words would you use to describe your Vision for the City of Casey?,,,What's most important to you?,Other,What is your suburb?,Postcode,Ward,What is your age?,What is your Gender
Safe,Less hoons,Happy,safe,kids,Connecting and supporting people,,narre warren south,3804,springfield,49-58,Female
"A community that encompasses and recognises the vibrancy of cultures contained, with facilities to support an ageing population","Traffic Congestion...Thompsons Rd, Monash Freeway as the main culprits ",Multicultural,Growth,Services,Creating a sense of place,,narre warren south,3804,springfield,29-38,Male
Safe,Better public transport,Safe,family-oriented,friendly,Protecting our environment and improving transport,,cranbourne east,3977,mayfield,39-48,Female
A very safe place,Add a bypass road ,Getting-there,,,Protecting our environment and improving transport,,cranbourne ,3977,balla balla,49-58,Male
"Friendly, safe and full of activities for people from all age groups across Casey",Public transport,Creative,Vibrant,welcoming,Creating a sense of place,,berwick,3806,edrington,39-48,Female
"Inclusive
Arts focus
Public transport",More Local jobs,Safe,Inclusive,caring,Connecting and supporting people,,narre warren south,3804,springfield,19-28,Female
Providing opportunities for business growth as well as community facilities,More police activity and presence,Safe,secure,prosperous,Attracting local business and jobs,,narre warren south,3804,springfield,39-48,Male
I would like it to be a social hub like the CBD,I would like for government schools to be funded more ,Transformation,green,hope,Creating a sense of place,,hampton park,3976,river gum,0-18,Female
"Caring and sharing, with no violence in our society",Increase cycle paths and networks,Progressive,safe,caring,Attracting local business and jobs,,narre warren,3805,springfield,59-68,Male
"Inclusive, Sustainable, Vibrant, Diverse.
Casey should generate more renewable energy than the energy it consumes. Natural places should be regenerated, enhanced and expanded. Buildings should feature a high level of sustainable design. The community should be stronger, more inclusive and engaged.","For Casey to produce more renewable energy, than the energy it consumes.",Sustainable,Regenerative,Inclusive,Protecting our environment and improving transport,,narre warren,3805,springfield,29-38,Male
"a community supporting kids to be creative , innovative and healthy.
community welcome groups to welcome new members in the neighbourhood.",bypass roads to reduce traffic during peak hours.,vibrant,buzy,accepting,Connecting and supporting people,,narre warren,3805,springfield,29-38,Female
"FUTURE RESIDENT

A place with good community.","FUTURE RESIDENT
Did you have any concerns about Casey or things that you thought might be missing?

With all the new developments, they need to update their roads.

Community is very important and there need to be lots of occasions to meet other community members who will be new to the City of Casey - for example through BBQ's and other local events.",comfortable,services,public-transport,Connecting and supporting people,,ferntree gully,,visitor,68+,Female
Environmentally friendly with more local jobs and better public transportation.,More services for helping people feel connected,Safe,fun,sustainable,Connecting and supporting people,,narre warren,3805,springfield,39-48,Female
Very good. Feeling unsafe with breakins and speeding trucks in area.,Speeding trucks and unsafe drivers,Family-oriented,safe,accessible,Connecting and supporting people,,cranbourne north,,Springfield,68+,Female
"Not as big, too much growth",Better education standards in schools,infrastructure,,,Protecting our environment and improving transport,,marriott waters,,visitor,59-68,Female
A green council with plenty of parks that isn't overdeveloped  but offers a suitable amount of ammenities for its residents ,Shopping facility for Botanic Ridge estate,Green,clean,welcoming,Protecting our environment and improving transport,,botanic ridge,3977,balla balla,29-38,Female
Safe and friendly,Rate payers money to be used wisely,Innovative,picturesque,safe,Protecting our environment and improving transport,,hampton park,3976,river gum,49-58,Female
Livable,"Better public transport, particularly trains.",Amenities,Transport,Recreation,Protecting our environment and improving transport,,narre warren south,3804,springfield,49-58,Male
A safe place,More parks,Relevant,Educated,Diverse,Connecting and supporting people,,narre warren south,3804,springfield,19-28,Female
"A safe, family and community orientated place.  Where it is cultural and beautiful to live.","More cultural things such as art galleries, theatres, gardens etc",Cultural,beautiful,safe,Protecting our environment and improving transport,,hampton park,3976,river gum,49-58,Female
"Friendly, warm, welcoming, sense of community, safe, clean, lots of greenery and parks, good infrastructure (roads and PT)",To feel safer; for Casey to have a lower rate of crime and FV,Unrealistic,,,Connecting and supporting people,,cranbourne ,3977,balla balla,19-28,Female
A safe fun place,Increase police ,Safe,friendly,equipt,Creating a sense of place,,berwick,3806,edrington,29-38,Female
"It would be great if Casey was environmentally intelligent,  inclusive, future thinking place to live. ",Hooning and crime. ,Exciting,welcoming,smart,Attracting local business and jobs,,lynbrook,3975,river gum,49-58,Female
Safe and well established,More help for families,Well-planned,,,Attracting local business and jobs,,cranbourne ,3977,balla balla,29-38,Male
"peaceful, developed suburb",Open the Evans road to go to Thompson's rd from South Gippsland ,reputation,,,Protecting our environment and improving transport,,lynbrook,3975,river gum,39-48,Female
safer,traffic,safe,livable,dynamic,Creating a sense of place,,berwick,3806,edrington,29-38,Female
Free of crimes ,Reduce council fee,people,,,Connecting and supporting people,,doveton ,3177,river gum,39-48,Female
Safe and peaceful,More jobs for people. Traffic can be solved.,Live,Love,Lead,Attracting local business and jobs,,cranbourne ,3977,balla balla,39-48,Female
Famil orintayed ,Ensure Family day care survival ,Friendly,homely,multicultural,Attracting local business and jobs,,,3977,balla balla,39-48,Female
"Innovative, progressive, family friendly, sustainable","Child friendly spaces with open ended play, such as mud patch, cubbies from trees.",Innovative,family-oriented,sustainable,Connecting and supporting people,,narre warren,3805,springfield,39-48,Prefer not to say
"Casey is a great  place now, with very good colleges and universities and schools. Continuing to be a great place","To make Narre Warren train station more accessible and modern, meaning a bit more shelter and possibly underground or above the traffic as it is so congested at tge moment",Safe,green,bigger-blocks,Attracting local business and jobs,,narre warren,3805,springfield,49-58,Female
